item,cuisine,cholesterol,ash,carotene,vit_a,vit_e,thiamin,riboflavin,niacin,vit_c,calcium,potassium,magnesium,iron,zinc,selenium,copper,manganese,iodine,mono,poly,health_star,calories
Grilled Spring Chicken,Fujian cuisine,385.73333333333335,2.232666666666667,0.0,172.09333333333333,3.920733333333333,0.21058333333333334,0.39716666666666667,15.613133333333332,13.933333333333332,59.528333333333336,401.72166666666664,60.51666666666667,3.343833333333333,3.40715,28.146666666666665,0.074,0.03373333333333333,0.251,3.4949999999999997,1.9740000000000002,1,347.13993166666666
Glass Crispy Chicken,Cantonese cuisine,209.73125,4.684675,22.305,96.2125,0.0,0.1491875,0.16575125,8.080175,2.068875,26.52025,392.57475,36.769125,3.2824125,2.2752125,21.7666375,0.18718875,0.33187625,0.0,4.6729954717103315,3.633169050050303,2,430.75179125
Phoenix Fish Roe Soup,Cantonese cuisine,165.7295,2.45924,33.85,61.4735,0.0,0.018127,0.075613,1.25027,2.55,38.0326,247.1673,11.9608,2.57689,2.115998,13.89443,0.150387,0.243156,0.0,2.296744578047278,1.7856771673219947,2,248.4624163
Cured Pork Stewed with River Clam,Anhui cuisine,28.482,0.1173,0.0,4.188000000000001,0.42738,0.23631000000000002,0.17422500000000002,0.8298,0.462,282.639,165.9285,47.064,1.1418000000000004,0.79572,25.3629,0.059775,0.059699999999999996,11.136,0.0,0.0132,2,641.818965
Lotus Leaf-Wrapped Chicken,Anhui cuisine,133.28333333333333,1.8333333333333333,0.0,33.33833333333333,3.0469666666666666,0.27513333333333334,0.2810166666666667,15.504233333333334,0.0,29.89,439.1141666666667,105.42833333333334,9.12175,3.7586999999999997,23.111833333333333,0.23650000000000004,0.35715,0.36000000000000004,2.1999999999999997,0.7333333333333334,2,443.07732000000004
Crab Roe and Fish Fins,Cantonese cuisine,241.965,3.10204,91.92525,315.255,0.0,0.0910975,0.25583975,1.81229,20.5626,162.438575,180.907175,26.9963,3.989455,2.6218325,44.253335,1.3165235,0.352961,2.725,2.798815091583912,2.1760278667324804,2,312.309754625
Sweet Porridge,Fujian cuisine,0.0,0.0,0.0,0.0,0.7441666666666666,0.057333333333333326,0.011666666666666667,1.0538333333333334,0.0,108.46666666666665,35.63333333333333,28.5,1.2633333333333334,0.28250000000000003,0.0,0.0,0.0,0.6333333333333333,1.3,2.0433333333333334,4,522.9877666666666
Bamboo Shoot and Squab Stew,Sichuan cuisine,0.0,1.8899125,124.06625,16.1,0.189,0.0589775,0.15817,1.1275375,4.853125,309.194875,192.61775,9.702875,0.977325,0.9867725,4.392525,0.07612,0.4324375,5.705,2.0538807811871327,1.5968549791834223,3,138.356472625
Mushy Stew,Jiangsu cuisine,16.5,0.0045,0.0,18.916666666666668,3.4245,0.006333333333333333,0.0017833333333333336,0.09933333333333333,4.6000000000000005,3.0833333333333335,7.295833333333333,1.8550000000000002,0.4350833333333333,0.14825,0.016666666666666666,0.0104,0.1130166666666667,0.6466666666666666,0.0,0.013333333333333334,3,242.289835
Egg White Crucian Carp,Anhui cuisine,54.7732490992472,1.0053333333333334,0.0,11.922883635214376,1.3525258909403346,0.472606130541304,0.17504696321434154,2.4599438614339433,1.2387807014721743,85.45440193008437,140.89290597936014,21.826471285326573,1.3644066059933115,1.6234541708759185,0.1860756027177014,0.0374397165061869,0.02465648666266519,0.2798709511424065,0.6060705329865403,0.5938049898397944,5,101.854893953461
Southern Braised Pork Belly,Shandong cuisine,88.32000000000001,0.0032,0.0,4.752000000000001,0.90262,0.07002,0.13698000000000002,2.4789000000000003,0.22799999999999998,10.245000000000001,90.77759999999999,3.6956,1.55168,2.79084,0.15,0.38014800000000004,0.10746,0.16140000000000002,23.8416,7.758,1,565.23022
